epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.361,1.21147,0.89831,1.13693,0.96545,0.91708,0.9605,0.63586,1.18972,0.61172,1.1129,0.00332579,0.00332579,0.00332579
2,401.08,1.1991,0.66829,1.11244,0.9381,0.84738,0.90192,0.58671,1.2544,0.71956,1.19025,0.0065932,0.0065932,0.0065932
3,596.629,1.25788,0.77446,1.16039,0.86419,0.82912,0.85525,0.53954,1.34196,1.02204,1.24678,0.00979461,0.00979461,0.00979461
4,791.656,1.28292,0.79032,1.19227,0.90789,0.80911,0.8656,0.54236,1.33001,0.89096,1.27571,0.009703,0.009703,0.009703
5,986.006,1.25275,0.74424,1.18446,0.92974,0.87419,0.9167,0.58999,1.24231,0.71334,1.20589,0.009604,0.009604,0.009604
6,1180.32,1.22399,0.70865,1.17243,0.95285,0.88337,0.92321,0.60518,1.2183,0.667,1.17137,0.009505,0.009505,0.009505
7,1374.55,1.21221,0.67947,1.17264,0.9501,0.87563,0.93188,0.62645,1.17896,0.64443,1.15328,0.009406,0.009406,0.009406
8,1568.67,1.19381,0.65286,1.16102,0.9412,0.89932,0.93437,0.62011,1.17771,0.63855,1.14503,0.009307,0.009307,0.009307
9,1762.79,1.1876,0.64694,1.16042,0.95862,0.89718,0.94192,0.62694,1.19978,0.5984,1.16713,0.009208,0.009208,0.009208
10,1957,1.17116,0.62746,1.15286,0.96309,0.91528,0.95037,0.64615,1.15012,0.56432,1.13876,0.009109,0.009109,0.009109
11,2151.17,1.16652,0.61042,1.13779,0.97147,0.92073,0.95585,0.66315,1.14278,0.53786,1.12675,0.00901,0.00901,0.00901
12,2347.5,1.15306,0.60175,1.13495,0.98134,0.91526,0.9502,0.64651,1.16007,0.54291,1.14178,0.008911,0.008911,0.008911
13,2544.92,1.15728,0.58955,1.13742,0.97158,0.90251,0.9492,0.64404,1.17334,0.5658,1.13052,0.008812,0.008812,0.008812
14,2742.26,1.13899,0.58583,1.12414,0.97137,0.91202,0.95415,0.66178,1.14123,0.54197,1.13639,0.008713,0.008713,0.008713
15,2939.48,1.14195,0.58194,1.13896,0.97738,0.92531,0.957,0.66394,1.12827,0.51025,1.11805,0.008614,0.008614,0.008614
16,3136.96,1.12213,0.56186,1.11816,0.97777,0.92172,0.96018,0.67115,1.11104,0.51507,1.10003,0.008515,0.008515,0.008515
17,3334.3,1.11878,0.55593,1.12874,0.9784,0.92346,0.96077,0.66171,1.13867,0.51675,1.13017,0.008416,0.008416,0.008416
18,3531.51,1.11794,0.5533,1.12404,0.97976,0.92604,0.96877,0.67232,1.12315,0.50108,1.11588,0.008317,0.008317,0.008317
19,3728.26,1.11258,0.54984,1.12398,0.97975,0.9257,0.95742,0.67232,1.12884,0.49156,1.11204,0.008218,0.008218,0.008218
20,3923.84,1.10096,0.53851,1.11708,0.97926,0.92479,0.96446,0.67084,1.13536,0.49869,1.12866,0.008119,0.008119,0.008119
21,4121.94,1.1014,0.53902,1.11328,0.97004,0.92893,0.96497,0.68147,1.10579,0.4857,1.10421,0.00802,0.00802,0.00802
22,4317.94,1.09626,0.52581,1.1076,0.97898,0.93346,0.96689,0.681,1.09674,0.46637,1.08783,0.007921,0.007921,0.007921
23,4513.57,1.09248,0.52576,1.10149,0.98265,0.92867,0.96655,0.68673,1.08735,0.47486,1.08877,0.007822,0.007822,0.007822
